Netlist file: ex1withdsp_fdr.net   Architecture file: fdr_ibm.arch
Array size: 12 x 12 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
stage: 1
Block_19	7	2	0	#185
Block_20	5	2	0	#186
Block_21	6	2	0	#187
Block_22	6	1	0	#188
Block_23	5	3	0	#189
Block_24	8	2	0	#190
Block_25	7	1	0	#191
Block_26	8	4	0	#192
Block_27	5	5	0	#193
Block_28	8	1	0	#194
Block_29	5	4	0	#195
Block_30	5	1	0	#196
Block_31	7	3	0	#197
Block_32	6	4	0	#198
Block_33	6	3	0	#199
Block_34	7	10	0	#200
Block_35	9	9	0	#201
Block_36	8	10	0	#202
Block_37	5	12	0	#203
Block_38	9	12	0	#204
Block_39	5	10	0	#205
Block_40	6	9	0	#206
Block_41	5	9	0	#207
Block_42	6	12	0	#208
Block_43	9	10	0	#209
Block_44	6	11	0	#210
Block_45	6	10	0	#211
Block_46	5	11	0	#212
Block_47	8	11	0	#213
DSP_Block_0	1	1	0	#214
DSP_Block_1	1	9	0	#215
DSP_Block_2	1	5	0	#216
